Timestamp : Duration
2021-05-28 21:43:10 : 0:05:03
2021-05-28 21:48:14 : 0:02:01
2021-05-28 21:50:16 : 0:01:44
2021-05-28 22:15:41 : 0:01:18
2021-05-28 22:22:39 : 0:01:11
2021-05-29 14:59:59 : 0:01:03
2021-05-29 16:44:50 : 0:01:03
2021-05-29 16:46:54 : 0:00:37
2021-05-29 16:47:32 : 0:00:33
2021-05-30 22:48:11 : 0:05:02
2021-05-30 22:53:14 : 0:00:46
2021-05-31 19:24:08 : 0:06:19
2021-05-31 19:30:21 : 0:06:13
2021-05-31 19:36:23 : 0:06:02
2021-05-31 19:43:13 : 0:06:50
2021-05-31 19:49:52 : 0:06:39
2021-05-31 20:01:18 : 0:11:26
2021-05-31 20:13:43 : 0:12:25
2021-05-31 20:25:55 : 0:12:12
2021-05-31 20:38:24 : 0:12:29
2021-05-31 20:49:29 : 0:11:05
2021-05-31 21:22:16 : 0:32:47
2021-05-31 21:53:25 : 0:31:09
2021-05-31 22:24:39 : 0:31:14
2021-05-31 22:57:14 : 0:32:35
2021-05-31 23:28:22 : 0:31:08
2021-06-01 00:31:07 : 1:02:45
2021-06-01 01:32:20 : 1:01:13
2021-06-01 02:34:27 : 1:02:07
2021-06-01 03:36:09 : 1:01:42
2021-06-01 04:37:50 : 1:01:41
2021-06-02 12:44:17 : 2:02:38
2021-06-02 14:46:00 : 2:01:43
2021-06-02 16:48:38 : 2:02:38
2021-06-02 18:49:59 : 2:01:21
2021-06-02 20:54:00 : 5:04:01
2021-06-03 10:29:48 : 5:03:38
2021-06-03 16:32:27 : 5:01:39
2021-06-06 13:21:05 : 14:04:07
2021-06-07 18:45:52 : 0:02:30
2021-06-08 13:48:13 : 0:01:40
2021-06-08 18:12:06 : 0:02:23
2021-06-09 14:12:23 : 3:36:57
2021-06-10 19:16:25 : 0:00:03
2021-06-10 19:16:25 : 0:00:47
2021-06-10 19:18:25 : 0:00:04
2021-06-10 19:20:25 : 0:00:09
2021-06-10 19:20:35 : 0:00:49
2021-06-10 19:22:25 : 0:00:49
2021-06-10 19:24:25 : 0:00:24
2021-06-10 19:24:25 : 0:00:52
2021-06-10 19:25:25 : 0:00:06
2021-06-10 19:30:36 : 0:00:35
2021-06-10 19:33:26 : 0:00:46
2021-06-10 19:41:26 : 0:00:15
2021-06-10 19:41:42 : 0:00:14
2021-06-10 19:54:27 : 2 days, 19:15:12
2021-06-13 15:09:40 : 0:02:26
2021-06-13 15:20:07 : 0:03:15
2021-06-13 15:23:23 : 0:34:15
2021-06-13 16:49:44 : 0:01:37
2021-06-13 16:51:22 : 0:17:11
2021-06-13 17:08:34 : 0:03:42
2021-06-13 17:13:17 : 0:12:09
2021-06-13 17:30:05 : 0:00:15
2021-06-13 17:38:06 : 0:00:35
2021-06-13 17:38:42 : 0:20:24
2021-06-13 17:59:07 : 0:02:15
2021-06-13 18:04:01 : 0:04:25
2021-06-13 18:15:28 : 20:51:25
2021-06-14 15:06:55 : 2:09:35
2021-06-14 17:16:30 : 0:43:39
2021-06-14 18:02:10 : 0:00:20
2021-06-14 18:06:10 : 0:00:19
2021-06-14 18:08:10 : 19:20:29
2021-06-15 13:59:41 : 0:00:13
2021-06-15 13:59:55 : 1 day, 0:04:29
2021-06-16 14:04:25 : 0:00:29
2021-06-16 14:05:54 : 0:01:42
2021-06-16 17:23:45 : 0:01:56
2021-06-16 17:34:42 : 0:04:11
2021-06-16 21:43:25 : 2:07:47
2021-06-16 23:51:38 : 0:26:13
2021-06-17 01:41:53 : 0:04:28
2021-06-17 04:22:44 : 0:02:34
2021-06-17 08:07:30 : 5:45:46
2021-06-17 14:00:22 : 0:00:04
2021-06-17 14:01:02 : 0:01:22
2021-06-17 14:11:16 : 0:02:28
2021-06-17 14:15:45 : 0:05:29
2021-06-17 14:25:35 : 0:00:01
2021-06-17 14:32:55 : 0:13:15
2021-06-17 20:48:32 : 0:01:43
2021-06-19 14:11:50 : 0:01:51
2021-06-20 11:31:09 : -1 day, 23:59:29
2021-06-20 22:53:34 : 0:28:33
2021-06-21 12:15:31 : 1:40:42
2021-06-21 14:10:15 : 0:15:38
2021-06-21 14:26:54 : 0:12:18
2021-06-21 14:40:13 : 0:17:55
2021-06-21 14:58:09 : 0:02:47
2021-06-21 15:21:58 : 0:02:18
2021-06-21 16:05:19 : 0:02:36
2021-06-21 17:04:59 : 0:02:37
2021-06-21 17:17:40 : 0:02:15
2021-06-21 19:16:01 : 0:00:30
2021-06-21 19:21:01 : 0:00:17
2021-06-21 19:33:02 : 0:00:56
2021-06-21 19:42:02 : 0:00:20
2021-06-21 19:42:23 : 0:00:21
2021-06-21 19:43:26 : 0:00:24
2021-06-22 02:52:12 : 0:01:22
2021-06-22 15:00:31 : 0:14:57
2021-06-22 15:50:03 : 0:01:32
2021-06-22 22:11:26 : 14:38:58
